,original_title,budget,genres,id,keywords,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,profit,ret_rate,rev_rate,log_rev_rate,log_budget,log_revenue,Profitable,all_keywords,lang_en
14,16 Blocks,55000000,"['Action', 'Adventure', 'Crime', 'Thriller']",2207,"['mission of murder', 'male bonding', 'doing the right thing', 'people change']",en,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",32.31022,"[""Donners' Company"", 'Cheyenne Enterprises', 'Alcon Entertainment', 'Nu Image Entertainment GmbH', 'Millennium Films', 'Emmett/Furla Films', 'Equity Pictures Medienfonds GmbH & Co. KG III', '16 Block Productions']","['United States of America', 'Germany']",2006-03-01,65664721,105.0,['English'],"For a New York cop and his witness, the distance between life and death just got very short.",16 Blocks,6.2,661,Color,Richard Donner,199.0,102.0,503.0,795.0,David Zayas,13000.0,Bruce Willis,112769,15053,Sasha Roiz,2.0,"['alcoholic', 'courthouse', 'detective', 'jail', 'witness']",http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,305.0,English,Germany,PG-13,2006.0,929.0,6.6,2.35,0,10664721,0.19390401818181818,1.1939040181818181,0.1772286249568229,17.822843743196746,18.000072368153567,True,"['detective', 'courthouse', 'alcoholic', 'doing the right thing', 'male bonding', 'mission of murder', 'jail', 'people change', 'witness']",True
16,17 Again,20000000,['Comedy'],16996,"['high school', 'bullying', 'high school sports', 'fake identity', 'adult as a child', 'do over']",en,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",52.571674,"['New Line Cinema', 'Offspring Entertainment']",['United States of America'],2009-03-11,136267476,102.0,['English'],Who says you're only young once?,17 Again,6.1,1350,Color,Burr Steers,191.0,102.0,23.0,651.0,Hunter Parrish,2000.0,Matthew Perry,146899,7009,Thomas Lennon,1.0,"['adult as child', 'father son relationship', 'high school student', 'janitor', 'school']",http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,185.0,English,USA,PG-13,2009.0,2000.0,6.4,2.35,0,116267476,5.8133738,6.8133738,1.9188874159843943,16.811242831518264,18.73013024750266,True,"['school', 'do over', 'adult as a child', 'adult as child', 'high school student', 'high school sports', 'bullying', 'high school', 'janitor', 'fake identity', 'father son relationship']",True
18,1941,35000000,"['Action', 'Comedy']",11519,"['submarine', 'california', 'world war ii', 'war ship', 'pearl harbor', 'satire', 'los angeles', 'anarchic comedy']",en,"It's been six days since the attack on Pearl Harbor. Panic grips California, supposedly the next target of the Japanese forces. Everywhere in California, people are suffering from war nerves. Chaos erupts all over the state. An Army Air Corps Captain, a civilian with a deranged sense of Nationalism, civilian defenders, and a Motor Pool crew all end up chasing a Japanese sub planning to attack LA.",10.032625999999999,"['Columbia Pictures', 'Universal Pictures', 'A-Team']",['United States of America'],1979-12-13,31755742,113.0,"['English', 'Deutsch', '\\u65e5\\u672c\\u8a9e']",Paranoia meets pandemonium.,1941,5.6,143,Color,Steven Spielberg,56.0,142.0,14000.0,642.0,John Belushi,16000.0,Christopher Lee,25193,20201,Treat Williams,5.0,"['california', 'captain', 'cult film', 'pearl harbor', 'submarine']",http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,217.0,English,USA,PG,1979.0,1000.0,5.9,2.35,2000,-3244258,-0.09269308571428571,0.9073069142857143,-0.09727450210847326,17.37085861945369,17.273584117345216,False,"['world war ii', 'satire', 'cult film', 'submarine', 'california', 'los angeles', 'anarchic comedy', 'war ship', 'captain', 'pearl harbor']",True
20,2 Fast 2 Furious,76000000,"['Action', 'Crime', 'Thriller']",584,"['miami', 'car race', 'sports car', 'los angeles', 'car', 'automobile racing']",en,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",10.520961,"['Mikona Productions GmbH & Co. KG', 'Universal Pictures', 'Original Film', 'Ardustry Entertainment']",['United States of America'],2003-06-05,236350661,107.0,"['English', 'Espa\\u00f1ol']",How Fast Do You Want It?,2 Fast 2 Furious,6.2,2028,Color,John Singleton,150.0,107.0,309.0,771.0,Cole Hauser,23000.0,Paul Walker,191912,25296,Mo Gallini,5.0,"['bust', 'racing', 'shotgun', 'street racing', 'undercover agent']",http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,370.0,English,USA,PG-13,2003.0,787.0,5.9,2.35,0,160350661,2.1098771184210525,3.1098771184210525,1.1345832136488132,18.146243898250606,19.28082711189942,True,"['street racing', 'miami', 'shotgun', 'bust', 'racing', 'car race', 'los angeles', 'car', 'automobile racing', 'undercover agent', 'sports car']",True
21,2 Guns,61000000,"['Action', 'Comedy', 'Crime']",136400,"['undercover', 'undercover agent', 'based on comic book', 'money', 'fugitive', 'bank robbery', 'dea agent']",en,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,42.881415000000004,"['Universal Studios', 'Marc Platt Productions', 'Emmett/Furla Films', 'Envision Entertainment Corporation']",['United States of America'],2013-08-02,131940411,109.0,"['Espa\\u00f1ol', 'English']","2 Guns, 1 Bank.",2 Guns,6.6,1589,Color,Baltasar Kormákur,265.0,109.0,175.0,459.0,Patrick Fischler,18000.0,Denzel Washington,156898,20148,Fred Ward,1.0,"['close up of breasts', 'female nudity', 'fugitive', 'money', 'undercover']",http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,172.0,English,USA,R,2013.0,497.0,6.7,2.35,22000,70940411,1.1629575573770492,2.162957557377049,0.7714765246688582,17.926384422137584,18.697860946806443,True,"['dea agent', 'money', 'fugitive', 'female nudity', 'bank robbery', 'based on comic book', 'undercover agent', 'undercover', 'close up of breasts']",True
24,"20,000 Leagues Under the Sea",5000000,"['Adventure', 'Drama', 'Science Fiction']",173,"['diving', 'ocean', 'submarine', 'jules verne', 'captain', 'atlantis', 'deep sea', 'war ship', 'diving suit', 'harpoon', 'ship', 'war', 'scuba diving', 'underwater', 'scuba', 'captain nemo', 'giant  squid']",en,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",9.358197,['Walt Disney Productions'],['United States of America'],1954-12-23,28200000,127.0,['English'],The mightiest motion picture of them all!,"20,000 Leagues Under the Sea",6.8,157,Color,Richard Fleischer,69.0,127.0,130.0,51.0,Robert J. Wilke,617.0,James Mason,22123,799,Paul Lukas,0.0,"['captain', 'expedition', 'sea', 'submarine', 'whale']",http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108.0,English,USA,Approved,1954.0,53.0,7.2,1.37,0,23200000,4.64,5.64,1.7298840655099674,15.424948470398375,17.15483253590834,True,"['underwater', 'war', 'atlantis', 'harpoon', 'scuba', 'expedition', 'giant  squid', 'scuba diving', 'war ship', 'ocean', 'submarine', 'jules verne', 'deep sea', 'sea', 'diving suit', 'diving', 'whale', 'captain', 'ship', 'captain nemo']",True
26,200 Cigarettes,6000000,"['Comedy', 'Drama', 'Romance']",15256,"[""new year's eve"", 'independent film', 'relationship', 'woman director', 'lower east side']",en,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",3.5611980000000005,['Paramount Pictures'],['United States of America'],1999-02-26,6852450,101.0,['English'],It's 11:59 on New Years Eve... do you know where your date is?,200 Cigarettes,6.1,44,Color,Risa Bramon Garcia,67.0,101.0,112.0,612.0,Dave Chappelle,1000.0,Janeane Garofalo,13010,2697,Gaby Hoffmann,5.0,"['bartender', 'friend', ""new year's eve"", 'party', 'punk']",http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182.0,English,USA,R,1999.0,744.0,5.9,1.85,0,852450,0.142075,1.142075,0.1328467833330507,15.60727002719233,15.74011681052538,True,"['lower east side', 'bartender', 'relationship', 'punk', 'independent film', 'party', 'woman director', 'friend', ""new year's eve""]",True
27,2001: A Space Odyssey,10500000,"['Science Fiction', 'Mystery', 'Adventure']",62,"['moon', 'jupiter', 'artificial intelligence', 'man vs machine', 'technology', 'super computer', 'human being', 'space travel', 'space mission', 'moon base', 'astronaut', 'evolution', 'monolith', 'space station']",en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",86.201184,"['Stanley Kubrick Productions', 'Metro-Goldwyn-Mayer (MGM)']","['United States of America', 'United Kingdom']",1968-04-10,68700000,149.0,"['English', 'P\\u0443\\u0441\\u0441\\u043a\\u0438\\u0439']",An epic drama of adventure and exploration,2001: A Space Odyssey,7.9,2998,Color,Stanley Kubrick,285.0,161.0,0.0,73.0,Gary Lockwood,273.0,Keir Dullea,427357,727,Glenn Beck,0.0,"['ancient astronaut', 'famous line', 'message from outer space', 'monolith', 'star child']",http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,1736.0,English,UK,G,1968.0,117.0,8.3,2.2,24000,58200000,5.542857142857143,6.542857142857143,1.878373942064826,16.166885815127753,18.04525975719258,True,"['message from outer space', 'space mission', 'evolution', 'monolith', 'space station', 'human being', 'man vs machine', 'space travel', 'moon', 'star child', 'moon base', 'jupiter', 'ancient astronaut', 'famous line', 'astronaut', 'technology', 'super computer', 'artificial intelligence']",True
28,2012,200000000,"['Action', 'Adventure', 'Science Fiction']",14161,"['civilization', 'natural disaster', 'end of the world', 'disaster', 'apocalypse', 'destruction', 'volcanic eruption', 'mayan', 'ark', 'solar', 'destruction  of mankind']",en,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",45.274225,"['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']","['Canada', 'United States of America']",2009-10-10,769653595,158.0,"['English', 'Fran\\u00e7ais', '\\u0939\\u093f\\u0928\\u094d\\u0926\\u0940', 'Italiano', 'Latin', '\\u666e\\u901a\\u8bdd', 'Portugu\\u00eas', 'P\\u0443\\u0441\\u0441\\u043a\\u0438\\u0439', '']",We Were Warned.,2012,5.6,4903,Color,Roland Emmerich,367.0,158.0,776.0,310.0,Liam James,1000.0,Oliver Platt,283418,2144,Tom McCarthy,0.0,"['ark', 'catastrophe', 'geologist', 'president', 'writer']",http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,2009.0,468.0,5.8,2.35,13000,569653595,2.848267975,3.848267975,1.3476231704514678,19.11382792451231,20.461451094963778,True,"['natural disaster', 'apocalypse', 'volcanic eruption', 'catastrophe', 'end of the world', 'writer', 'civilization', 'geologist', 'destruction', 'president', 'mayan', 'ark', 'destruction  of mankind', 'solar', 'disaster']",True
29,2016: Obama's America,2500000,[],126509,[],en,"2016: Obama's America takes audiences on a gripping visual journey into the heart of the worlds most powerful office to reveal the struggle of whether one man's past will redefine America over the next four years. The film examines the question, ""If Obama wins a second term, where will we be in 2016?""  Across the globe and in America, people in 2008 hungered for a leader who would unite and lift us from economic turmoil and war. True to Americas ideals, they invested their hope in a new kind of president, Barack Obama. What they didn't know is that Obama is a man with a past, and in powerful ways that past defines him--who he is, how he thinks, and where he intends to take America and the world. Immersed in exotic locales across four continents, best selling author Dinesh DSouza races against time to find answers to Obama's past and reveal where America will be in 2016.",0.973582,[],['United States of America'],2012-07-13,33400000,87.0,['English'],"Love Him, Hate Him, You Don't Know Him",2016: Obama's America,4.6,19,Color,Dinesh D'Souza,30.0,87.0,67.0,67.0,Zackary Steven Graham,871.0,Barack Obama,9010,1111,Dinesh D'Souza,0.0,"['critically bashed', 'partisan commentary', 'political propoganda', 'punctuation in title', 'reenactment']",http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,199.0,English,USA,PG,2012.0,118.0,5.1,1.85,0,30900000,12.36,13.36,2.5922651681085,14.73180128983843,17.32406645794693,True,"['reenactment', 'partisan commentary', 'political propoganda', 'critically bashed', 'punctuation in title']",True
